ID,Name,Team,Pos,Price,16_pts_no_prob,16_prob,16_with_prob
245,Diop,FUL,DEF,4.4,2.7455,0.69228,1.90066
246,Harris,FUL,MID,4.5,0,0,0
247,Iwobi,FUL,MID,5.7,2.85895,0.94122,2.6909
248,Leno,FUL,GK,5,5.35329,0.94941,5.08248
249,Lukić,FUL,MID,4.8,1.67798,0.77437,1.29938
250,Mbabu,FUL,DEF,4,2.53503,0,0.06793
251,Muniz,FUL,FWD,5.5,1.4923,0.91586,1.36674
252,Raúl,FUL,FWD,5.5,2.2485,0.93312,2.09811
253,Ream,FUL,DEF,4.5,0,0,0
254,Reed,FUL,MID,4.7,0,0,0
255,Robinson,FUL,DEF,4.7,3.22106,0.94123,3.03177
256,Stansfield,FUL,FWD,5,1.39039,0,0.49512
257,Tete,FUL,DEF,4.5,2.90018,0.81351,2.35931
258,Vinicius,FUL,FWD,5,1.31992,0.0004,0.00053
259,Wilson,FUL,MID,5.2,1.45949,0.8817,1.28683
260,Al-Hamadi,IPS,FWD,4.8,1.55778,0.54589,0.85038
261,Baggott,IPS,DEF,4,0,0,0
262,Broadhead,IPS,MID,4.9,2.03095,0.37237,0.75626
263,Burgess,IPS,DEF,4,2.40465,0.71236,1.71298
264,Burns,IPS,MID,4.8,2.39765,0.88259,2.11614
265,Chaplin,IPS,MID,5.1,2.12885,0.86825,1.84838
266,H.Clarke,IPS,DEF,4,1.98397,0.47769,0.94773
267,Davis,IPS,DEF,4.5,3.04939,0.9412,2.8701
268,Delap,IPS,FWD,5.6,2.87682,0.94101,2.70712
269,Edmundson,IPS,DEF,4,0,0,0
270,Greaves,IPS,DEF,4,2.31953,0.44829,1.03983
271,Harness,IPS,MID,4.9,0,0,0
272,Hirst,IPS,FWD,5.4,0,0,0
273,Humphreys,IPS,MID,4.5,0,0,0
274,Hutchinson,IPS,MID,5.2,2.61828,0.90895,2.37989
275,Johnson,IPS,DEF,3.9,2.2702,0.66975,1.52046
276,Ladapo,IPS,FWD,4.5,0,0,0
277,Luongo,IPS,MID,4.4,1.79213,0.19642,0.352
278,Morsy,IPS,MID,4.9,2.58475,0.90893,2.34937
279,Ndaba,IPS,DEF,4,0,0,0
280,Slicker,IPS,GK,4,3.60675,0.00214,0.00772
281,Taylor,IPS,MID,4.8,1.93967,0.87522,1.69764
282,Tuanzebe,IPS,DEF,4,0,0,0
283,Walton,IPS,GK,4.3,3.89251,0.06013,0.23407
284,Woolfenden,IPS,DEF,4,2.24607,0.14263,0.32035
285,B.Soumaré,LEI,MID,4.4,0,0,0
286,Cannon,LEI,FWD,4.5,0,0,0
287,Choudhury,LEI,MID,4.3,1.68911,0.05065,0.08555
288,Coady,LEI,DEF,4,2.39624,0.5497,1.31722
289,Daka,LEI,FWD,4.8,1.52465,0.9073,1.38332
290,"De Cordova-Reid",LEI,MID,5.2,1.68612,0.83028,1.39995
291,Faes,LEI,DEF,4.1,2.5672,0.94123,2.41633
292,Golding,LEI,MID,4.4,1.74313,0.02267,0.03953
293,Hermansen,LEI,GK,4.5,4.38024,0.94938,4.15852
294,Iversen,LEI,GK,4,4.05392,0.06027,0.24434
295,Justin,LEI,DEF,4.5,2.91345,0.89997,2.62201
296,Kristiansen,LEI,DEF,4.5,3.053,0.81063,2.47485
297,Marcal,LEI,MID,4.5,0,0,0
298,Mavididi,LEI,MID,5.3,2.15109,0.88851,1.91127
299,McAteer,LEI,MID,4.7,1.88736,0.68076,1.28483
300,Ndidi,LEI,MID,5,2.31392,0.64,1.4809
301,Okoli,LEI,DEF,4,2.5415,0.54872,1.39457
302,Ricardo,LEI,DEF,4.2,0,0,0
303,Souttar,LEI,DEF,4,0,0,0
304,Stolarczyk,LEI,GK,4,0,0.002,0
305,Thomas,LEI,DEF,3.9,2.42007,0.14389,0.34823
306,Vardy,LEI,FWD,5.6,2.46739,0.88831,2.19181
307,Vestergaard,LEI,DEF,4,2.50186,0.75868,1.8981
308,Ward,LEI,GK,4,4.05392,0.00201,0.00815
309,Winks,LEI,MID,4.5,2.11232,0.07485,0.15811
310,A.Becker,LIV,GK,5.4,3.52808,0.94925,3.34903
311,Alexander-Arnold,LIV,DEF,7,4.01318,0.94012,3.77287
312,Bajcetic,LIV,MID,4.5,0,0,0
313,Bradley,LIV,DEF,4.7,0,0,0
314,Carvalho,BRE,MID,4.7,1.69261,0.83694,1.41661
315,Clark,LIV,MID,4.5,1.75517,0,0.05973
316,Darwin,LIV,FWD,7.1,2.19431,0.88883,1.95037
317,"Diogo J.",LIV,MID,7.2,2.62525,0.07053,0.18516
318,Doak,LIV,MID,4.5,0,0,0
319,Elliott,LIV,MID,5.2,2.19304,0.47448,1.04055
320,Endo,LIV,MID,4.7,1.65325,0.46743,0.77277
321,Gakpo,LIV,FWD,7.1,2.52598,0.93943,2.37298
322,Gomez,LIV,DEF,4.9,2.13621,0.56944,1.21644
323,Gravenberch,LIV,MID,5,2.49835,0.93707,2.34113
324,Jones,LIV,MID,5.3,2.3923,0.91951,2.19974
325,Kelleher,LIV,GK,4.6,3.58137,0.06836,0.24482
326,Konaté,LIV,DEF,5.2,0,0,0
327,"Luis Díaz",LIV,MID,7.4,2.6852,0.94123,2.5274
328,M.Salah,LIV,MID,13.3,5.20411,0.941,4.89709
329,"Mac Allister",LIV,MID,6.2,0,0,0
330,McConnell,LIV,MID,4.4,1.71884,0.0007,0.00121
331,Morton,LIV,MID,4.4,1.7649,0.00497,0.00877
332,N.Phillips,LIV,DEF,4,0,0,0
333,Quansah,LIV,DEF,3.9,2.30028,0.4253,0.97831
334,R.Williams,LIV,DEF,4,0,0,0
335,Robertson,LIV,DEF,5.9,3.61633,0.8845,3.19864
336,Szoboszlai,LIV,MID,6.3,2.51799,0.94102,2.36949
337,Tsimikas,LIV,DEF,4.6,0,0,0
338,"Van den Berg",BRE,DEF,4.1,2.66498,0.92714,2.47082
339,Virgil,LIV,DEF,6.4,2.70302,0.94123,2.54417
340,Akanji,MCI,DEF,5.3,2.5196,0.26183,0.65972
341,Aké,MCI,DEF,5.3,0,0,0
342,Bernardo,MCI,MID,6.3,3.40235,0.94029,3.19919
343,Bobb,MCI,MID,4.7,0,0,0
344,Carson,MCI,GK,4,3.39079,0.002,0.00678
345,"De Bruyne",MCI,MID,9.5,3.82011,0.94004,3.59105
346,Doku,MCI,MID,6.2,2.57415,0.86021,2.21431
347,"Ederson M.",MCI,GK,5.4,3.06946,0.5,1.53473
348,Foden,MCI,MID,9.1,3.27996,0.23163,0.75975
349,Grealish,MCI,MID,6.4,2.10764,0.91616,1.93094
350,Gvardiol,MCI,DEF,6.1,3.09838,0.85356,2.64463
351,Haaland,MCI,FWD,14.9,5.31635,0.94066,5.00086
352,J.Alvarez,MCI,FWD,7,3.18411,0,0
353,"João Cancelo",MCI,DEF,5.3,0,0,0
